"country_code","year","EP_Count","EP_Count_Binary","Market_Access_Green","Standards_NonRegression","Enforcement_DSM","Regulatory_Space","Cooperation_Assistance","TBT_SPS_Environment","MEA_Compliance","Climate_Energy","Biodiversity_Resources","Transparency_Participation"
601,2015,27,27,0,0,1,4,2,3,0,4,1,0
103,2002,2,2,0,0,0,2,0,0,0,0,0,0
103,2003,2,2,0,0,0,2,0,0,0,0,0,0
103,2004,2,2,0,0,0,2,0,0,0,0,0,0
103,2005,2,2,0,0,0,2,0,0,0,0,0,0
103,2006,2,2,0,0,0,2,0,0,0,0,0,0
103,2007,2,2,0,0,0,2,0,0,0,0,0,0
103,2008,2,2,0,0,0,2,0,0,0,0,0,0
103,2009,2,2,0,0,0,2,0,0,0,0,0,0
103,2010,2,2,0,0,0,2,0,0,0,0,0,0
103,2011,2,2,0,0,0,2,0,0,0,0,0,0
103,2012,2,2,0,0,0,2,0,0,0,0,0,0
103,2013,2,2,0,0,0,2,0,0,0,0,0,0
103,2014,2,2,0,0,0,2,0,0,0,0,0,0
103,2015,2,2,0,0,0,2,0,0,0,0,0,0
105,2005,10,10,0,0,1,3,2,0,0,0,1,0
105,2006,10,10,0,0,1,3,2,0,0,0,1,0
105,2007,10,10,0,0,1,3,2,0,0,0,1,0
105,2008,10,10,0,0,1,3,2,0,0,0,1,0
105,2009,10,10,0,0,1,3,2,0,0,0,1,0
105,2010,10,10,0,0,1,3,2,0,0,0,1,0
105,2011,10,10,0,0,1,3,2,0,0,0,1,0
105,2012,10,10,0,0,1,3,2,0,0,0,1,0
105,2013,10,10,0,0,1,3,2,0,0,0,1,0
105,2014,10,10,0,0,1,3,2,0,0,0,1,0
105,2015,10,10,0,0,1,3,2,0,0,0,1,0
107,2005,10,10,0,0,1,3,2,0,0,0,1,0
107,2006,10,10,0,0,1,3,2,0,0,0,1,0
107,2007,10,10,0,0,1,3,2,0,0,0,1,0
107,2008,10,10,0,0,1,3,2,0,0,0,1,0
107,2009,10,10,0,0,1,3,2,0,0,0,1,0
107,2010,10,10,0,0,1,3,2,0,0,0,1,0
107,2011,10,10,0,0,1,3,2,0,0,0,1,0
107,2012,10,10,0,0,1,3,2,0,0,0,1,0
107,2013,10,10,0,0,1,3,2,0,0,0,1,0
107,2014,10,10,0,0,1,3,2,0,0,0,1,0
107,2015,10,10,0,0,1,3,2,0,0,0,1,0
412,2006,37,37,0,0,2,2,9,3,0,3,1,1
412,2007,37,37,0,0,2,2,9,3,0,3,1,1
412,2008,37,37,0,0,2,2,9,3,0,3,1,1
412,2009,37,37,0,0,2,2,9,3,0,3,1,1
412,2010,37,37,0,0,2,2,9,3,0,3,1,1
412,2011,37,37,0,0,2,2,9,3,0,3,1,1
412,2012,37,37,0,0,2,2,9,3,0,3,1,1
412,2013,37,37,0,0,2,2,9,3,0,3,1,1
412,2014,37,37,0,0,2,2,9,3,0,3,1,1
412,2015,37,37,0,0,2,2,9,3,0,3,1,1
415,2011,54,54,0,0,1,3,10,3,0,13,1,0
415,2012,54,54,0,0,1,3,10,3,0,13,1,0
415,2013,54,54,0,0,1,3,10,3,0,13,1,0
415,2014,54,54,0,0,1,3,10,3,0,13,1,0
415,2015,54,54,0,0,1,3,10,3,0,13,1,0
144,2005,10,10,0,0,1,3,2,0,0,0,1,0
144,2006,10,10,0,0,1,3,2,0,0,0,1,0
144,2007,10,10,0,0,1,3,2,0,0,0,1,0
144,2008,10,10,0,0,1,3,2,0,0,0,1,0
144,2009,10,10,0,0,1,3,2,0,0,0,1,0
144,2010,10,10,0,0,1,3,2,0,0,0,1,0
144,2011,10,10,0,0,1,3,2,0,0,0,1,0
144,2012,10,10,0,0,1,3,2,0,0,0,1,0
144,2013,10,10,0,0,1,3,2,0,0,0,1,0
144,2014,10,10,0,0,1,3,2,0,0,0,1,0
144,2015,10,10,0,0,1,3,2,0,0,0,1,0
110,2003,9,9,0,0,0,2,2,0,0,0,1,1
110,2004,9,9,0,0,0,2,2,0,0,0,1,1
110,2005,9,9,0,0,0,2,2,0,0,0,1,1
110,2006,9,9,0,0,0,2,2,0,0,0,1,1
110,2007,9,9,0,0,0,2,2,0,0,0,1,1
110,2008,9,9,0,0,0,2,2,0,0,0,1,1
110,2009,9,9,0,0,0,2,2,0,0,0,1,1
110,2010,9,9,0,0,0,2,2,0,0,0,1,1
110,2011,9,9,0,0,0,2,2,0,0,0,1,1
