Baseline			
	(1)	(2)	(3)
VARIABLES	$\text{Exports}_{fpd}$	$\text{Quantity}_{fpd}$	$\text{UnitValue}_{fpd}$
			
WB_EP_Depth	0.00098***	0.00198***	-0.00093***
	(0.00035)	(0.00037)	(0.00015)
Constant	9.78437***	7.80929***	2.01172***
	(0.00053)	(0.00056)	(0.00022)
			
Observations	31,817,355	31,579,783	31,579,775
R-squared	0.79365	0.86864	0.95549
$\theta_{fpd}$	YES	YES	YES
$\theta_t$	YES	YES	YES
Adj R-squared	0.715	0.818	0.938
Clusters(pdt)	2.993e+06	2.986e+06	2.986e+06
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
