With Controls				
	(1)	(2)	(3)	(4)
VARIABLES	$\text{Exports}_{fpd}$	$\text{Quantity}_{fpd}$	$\text{UnitValue}_{fpd}$	$\text{Exports}_{fpd}$
				
WB_EP_Depth	0.00098***	0.00198***	-0.00093***	0.00127***
	(0.00035)	(0.00037)	(0.00015)	(0.00037)
tariffs				-0.05923***
				(0.00226)
ln_hhi_baci				-0.02344***
				(0.00184)
Constant	9.78437***	7.80929***	2.01172***	9.85472***
	(0.00053)	(0.00056)	(0.00022)	(0.00448)
				
Observations	31,817,355	31,579,783	31,579,775	28,798,035
R-squared	0.79365	0.86864	0.95549	0.79290
$\theta_{fpd}$	YES	YES	YES	YES
$\theta_t$	YES	YES	YES	YES
Adj R-squared	0.715	0.818	0.938	0.713
Clusters(pdt)	2.993e+06	2.986e+06	2.986e+06	2.478e+06
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
